Symbol,Date,Open,High,Low,Close,Volume
NETSOL,06-Feb-2019,88.80,88.97,85.50,86.26,860800
NETSOL,07-Feb-2019,86.30,90.57,85.85,90.35,2085200
NETSOL,08-Feb-2019,91.89,93.50,90.00,91.57,2440200
NETSOL,11-Feb-2019,92.90,93.90,88.10,90.12,1873700
NETSOL,12-Feb-2019,91.19,93.00,89.50,91.70,1256800
NETSOL,13-Feb-2019,92.00,92.75,87.12,87.12,2224200
NETSOL,14-Feb-2019,85.02,87.80,83.50,84.43,637700
NETSOL,15-Feb-2019,84.10,86.20,84.10,84.76,403200
NETSOL,18-Feb-2019,85.79,85.81,81.21,82.15,509100
NETSOL,19-Feb-2019,82.50,82.60,80.25,80.36,376300
NETSOL,20-Feb-2019,79.70,81.82,79.00,80.80,569200
NETSOL,21-Feb-2019,80.85,84.84,80.85,84.61,1275100
NETSOL,22-Feb-2019,85.40,85.90,82.25,82.68,735800
NETSOL,25-Feb-2019,82.70,83.75,82.00,82.33,309800
NETSOL,26-Feb-2019,81.31,82.40,78.22,78.68,895200
NETSOL,27-Feb-2019,76.00,79.20,74.75,76.30,730800
NETSOL,28-Feb-2019,77.01,80.11,77.01,80.11,1062300
NETSOL,01-Mar-2019,81.50,84.11,81.50,82.44,2037400
NETSOL,04-Mar-2019,82.80,86.56,82.61,86.56,1626200
NETSOL,05-Mar-2019,87.50,88.00,83.90,84.39,1552800
